id,team_name,round,match_date,year,home_away,opponent,team_quarter_scores,team_score,opponent_quarter_scores,opponent_score,result,margin,venue,crowd,team_goals_kicked,team_behinds,opponent_goals_kicked,opponent_behinds
10766,Carlton Blues,22,1984-09-01,1984,H,Sydney Swans,4.4 7.14 13.17 20.19,139,4.4 9.6 13.9 15.13,103,W,36,Princes Park,20309.0,20,19,15,13
10767,Carlton Blues,QF,1984-09-08,1984,A,Hawthorn Hawks,3.3 5.7 10.11 13.14,92,6.3 9.8 14.11 18.14,122,L,30,Waverley Park,55947.0,13,14,18,14
10768,Carlton Blues,SF,1984-09-15,1984,A,Collingwood Magpies,2.2 8.4 8.6 14.9,93,3.4 9.8 13.12 17.16,118,L,25,Waverley Park,70634.0,14,9,17,16
10771,Carlton Blues,3,1985-04-13,1985,H,North Melbourne Kangaroos,4.3 8.7 15.10 22.13,145,5.3 7.6 13.14 22.15,147,L,2,Princes Park,20398.0,22,13,22,15
10772,Carlton Blues,4,1985-04-20,1985,H,Geelong Cats,5.2 12.8 17.14 24.17,161,3.5 7.8 9.9 13.11,89,W,72,Princes Park,19867.0,24,17,13,11
10773,Carlton Blues,5,1985-04-25,1985,A,Melbourne Demons,4.5 9.7 12.10 13.14,92,6.6 9.9 15.13 18.13,121,L,29,Melbourne Cricket Ground,53065.0,13,14,18,13
10774,Carlton Blues,6,1985-05-04,1985,A,Essendon Bombers,3.5 4.10 5.14 8.19,67,6.1 11.4 19.9 27.14,176,L,109,Windy Hill,22928.0,8,19,27,14
10775,Carlton Blues,7,1985-05-12,1985,A,Sydney Swans,3.1 9.3 11.8 12.16,88,4.4 7.10 11.13 11.17,83,W,5,Sydney Cricket Ground,12507.0,12,16,11,17
10776,Carlton Blues,8,1985-05-18,1985,H,Richmond Tigers,5.6 5.9 9.16 11.18,84,0.2 4.4 5.9 9.13,67,W,17,Princes Park,21053.0,11,18,9,13
10777,Carlton Blues,9,1985-05-25,1985,A,Fitzroy Lions,5.3 10.6 14.9 18.16,124,5.2 12.4 17.7 19.9,123,W,1,Waverley Park,29455.0,18,16,19,9
10778,Carlton Blues,10,1985-06-01,1985,H,Hawthorn Hawks,2.5 5.9 7.12 9.14,68,2.6 10.10 18.13 22.15,147,L,79,Princes Park,25394.0,9,14,22,15
10779,Carlton Blues,11,1985-06-10,1985,A,Collingwood Magpies,2.1 8.7 14.11 16.14,110,4.2 6.4 7.8 13.9,87,W,23,Waverley Park,56255.0,16,14,13,9
10780,Carlton Blues,12,1985-06-15,1985,A,Western Bulldogs,0.3 2.4 2.5 5.9,39,5.0 6.0 10.6 13.8,86,L,47,Western Oval,20707.0,5,9,13,8
10782,Carlton Blues,14,1985-06-28,1985,A,North Melbourne Kangaroos,7.2 13.9 17.16 22.19,151,1.4 6.7 8.11 10.15,75,W,76,Melbourne Cricket Ground,32861.0,22,19,10,15
8909,Sydney Swans,8,2021-05-08,2021,A,Melbourne Demons,3.3 3.7 6.8 8.10,58,3.1 5.6 8.6 10.7,67,L,9,Melbourne Cricket Ground,35567.0,8,10,10,7
8913,Sydney Swans,12,2021-06-05,2021,H,St Kilda Saints,4.6 6.7 10.11 13.14,92,3.4 5.7 9.7 12.11,83,W,9,Sydney Cricket Ground,19020.0,13,14,12,11
10781,Carlton Blues,13,1985-06-22,1985,H,St Kilda Saints,3.2 13.11 18.14 20.19,139,3.5 5.8 13.9 16.11,107,W,32,Princes Park,13527.0,20,19,16,11
10219,Collingwood Magpies,SF,2007-09-14,2007,A,West Coast Eagles,1.5 4.8 7.11 10.12 10.13 10.14,74,0.4 5.5 8.9 10.12 11.13 13.15,93,L,19,Domain Stadium,43627.0,10,14,13,15
10221,West Coast Eagles,SF,2007-09-14,2007,H,Collingwood Magpies,0.4 5.5 8.9 10.12 11.13 13.15,93,1.5 4.8 7.11 10.12 10.13 10.14,74,W,19,Domain Stadium,43627.0,13,15,10,14
10222,West Coast Eagles,EF,2017-09-09,2017,A,Port Adelaide Power,4.2 7.4 7.5 9.6 10.6 12.6,78,1.0 5.5 6.8 8.12 10.13 10.16,76,W,2,Adelaide Oval,41172.0,12,6,10,16
8880,Sydney Swans,19,2019-07-28,2019,H,Geelong Cats,3.3 6.5 7.6 12.8,80,1.1 6.5 10.10 16.11,107,L,27,Sydney Cricket Ground,32911.0,12,8,16,11
8882,Sydney Swans,21,2019-08-10,2019,A,Port Adelaide Power,3.4 4.10 7.12 7.14,56,4.4 7.7 12.10 15.13,103,L,47,Adelaide Oval,29568.0,7,14,15,13
8883,Sydney Swans,22,2019-08-16,2019,A,Melbourne Demons,4.1 7.3 10.3 15.5,95,3.1 3.3 3.7 5.12,42,W,53,Melbourne Cricket Ground,23700.0,15,5,5,12
8884,Sydney Swans,23,2019-08-24,2019,H,St Kilda Saints,6.2 6.3 11.4 17.7,109,2.5 5.9 7.12 8.16,64,W,45,Sydney Cricket Ground,33722.0,17,7,8,16
8885,Sydney Swans,1,2020-03-21,2020,A,Adelaide Crows,3.0 8.3 11.4 11.8,74,6.0 7.1 9.2 11.5,71,W,3,Adelaide Oval,,11,8,11,5
8886,Sydney Swans,2,2020-06-14,2020,H,Essendon Bombers,2.0 5.3 9.4 11.7,73,5.2 6.3 10.6 12.7,79,L,6,Sydney Cricket Ground,,11,7,12,7
8887,Sydney Swans,3,2020-06-20,2020,A,North Melbourne Kangaroos,2.1 5.3 10.8 10.11,71,2.3 3.9 5.11 8.12,60,W,11,Marvel Stadium,,10,11,8,12
8889,Sydney Swans,5,2020-07-04,2020,A,West Coast Eagles,3.3 4.5 5.6 6.7,43,3.1 5.4 8.9 11.11,77,L,34,People First Stadium,,6,7,11,11
8890,Sydney Swans,6,2020-07-12,2020,A,Richmond Tigers,1.3 2.3 2.5 3.8,26,3.3 3.5 4.7 4.10,34,L,8,The Gabba,,3,8,4,10
8891,Sydney Swans,7,2020-07-18,2020,H,Gold Coast Suns,2.1 5.3 9.3 9.6,60,2.3 6.7 10.13 13.14,92,L,32,Sydney Cricket Ground,,9,6,13,14
8892,Sydney Swans,8,2020-07-25,2020,H,Hawthorn Hawks,2.1 5.1 8.2 9.6,60,3.3 5.3 6.6 7.11,53,W,7,Sydney Cricket Ground,,9,6,7,11
8893,Sydney Swans,9,2020-08-01,2020,A,St Kilda Saints,2.1 3.6 5.10 6.12,48,3.3 7.4 9.6 15.11,101,L,53,The Gabba,,6,12,15,11
8894,Sydney Swans,10,2020-08-06,2020,A,Collingwood Magpies,1.0 5.0 5.2 6.5,41,0.6 2.10 5.11 6.14,50,L,9,The Gabba,,6,5,6,14
8895,Sydney Swans,12,2020-08-13,2020,H,Greater Western Sydney Giants,3.1 5.2 6.5 10.6,66,0.1 1.3 2.6 3.7,25,W,41,Optus Stadium,,10,6,3,7
8897,Sydney Swans,14,2020-08-29,2020,A,Port Adelaide Power,3.1 3.1 5.4 7.5,47,4.3 8.3 8.4 11.7,73,L,26,Adelaide Oval,,7,5,11,7
8898,Sydney Swans,15,2020-09-03,2020,H,Melbourne Demons,2.0 7.2 7.4 10.7,67,2.3 2.4 3.7 6.10,46,W,21,Cazaly's Stadium,,10,7,6,10
8899,Sydney Swans,16,2020-09-08,2020,A,Carlton Blues,3.0 7.2 8.3 8.4,52,0.4 4.4 6.9 8.9,57,L,5,People First Stadium,,8,4,8,9
8900,Sydney Swans,17,2020-09-13,2020,H,Brisbane Lions,2.0 2.0 3.3 6.5,41,1.1 3.3 5.4 11.7,73,L,32,Cazaly's Stadium,,6,5,11,7
8901,Sydney Swans,18,2020-09-20,2020,H,Geelong Cats,5.4 5.8 7.9 9.9,63,4.1 4.3 7.7 10.9,69,L,6,People First Stadium,,9,9,10,9
8902,Sydney Swans,1,2021-03-20,2021,A,Brisbane Lions,2.4 8.4 17.6 19.11,125,3.3 8.4 10.7 14.10,94,W,31,The Gabba,22762.0,19,11,14,10
8903,Sydney Swans,2,2021-03-27,2021,H,Adelaide Crows,4.1 9.6 15.11 18.13,121,3.2 4.6 6.14 11.22,88,W,33,Sydney Cricket Ground,23946.0,18,13,11,22
8904,Sydney Swans,3,2021-04-03,2021,A,Richmond Tigers,2.5 10.10 15.12 17.15,117,1.3 4.6 7.9 10.12,72,W,45,Melbourne Cricket Ground,43637.0,17,15,10,12
